listing_id,aspect,NSS_score
1296322,check_in,1.0
1296322,cleanliness,0.8043478260869565
1296322,communication,0.7777777777777778
1296322,location,0.8571428571428571
1296322,value,1.0
1302302,amenities,1.0
1302302,check_in,0.8181818181818182
1302302,cleanliness,0.96875
1302302,communication,0.9487179487179488
1302302,location,0.9545454545454546
1302302,value,1.0
1316688,amenities,0.6
1316688,check_in,1.0
1316688,cleanliness,0.8125
1316688,communication,1.0
1316688,location,0.9615384615384616
1316688,value,1.0
1338281,amenities,0.625
1338281,check_in,1.0
1338281,cleanliness,1.0
1338281,communication,0.8181818181818182
1338281,location,0.8461538461538461
1338281,value,0.8571428571428571
1338489,amenities,0.5294117647058824
1338489,check_in,1.0
1338489,cleanliness,0.943661971830986
1338489,communication,1.0
1338489,location,0.8297872340425532
1338489,value,1.0
1341890,amenities,0.7333333333333333
1341890,check_in,0.1428571428571428
1341890,cleanliness,1.0
1341890,communication,0.8857142857142857
1341890,location,0.6666666666666666
1341890,value,0.8333333333333334
1350390,amenities,0.9130434782608696
1350390,check_in,1.0
1350390,cleanliness,0.8666666666666667
1350390,communication,0.7837837837837838
1350390,location,0.92
1350390,value,0.6666666666666666
1388584,amenities,1.0
1388584,check_in,1.0
1388584,cleanliness,1.0
1388584,communication,1.0
1388584,location,1.0
1388584,value,1.0
1394285,cleanliness,1.0
1394285,communication,1.0
1394285,location,0.2
1394285,value,1.0
1400351,communication,1.0
1412787,amenities,0.6666666666666666
1412787,check_in,0.6923076923076923
1412787,cleanliness,0.8431372549019608
1412787,communication,0.92
1412787,location,0.925925925925926
1412787,value,0.75
1419797,amenities,1.0
1419797,check_in,0.5555555555555556
1419797,cleanliness,1.0
1419797,communication,1.0
1419797,location,0.8048780487804879
1419797,value,1.0
1420577,check_in,1.0
1420577,communication,1.0
1420577,location,1.0
1421233,amenities,1.0
1421233,check_in,1.0
1421233,cleanliness,0.9
1421233,communication,1.0
1421233,location,0.9111111111111112
1421233,value,1.0
1440474,amenities,1.0
1440474,cleanliness,1.0
1440474,communication,1.0
1440474,location,1.0
1452584,communication,1.0
1452584,location,1.0
1457235,amenities,1.0
1457235,cleanliness,1.0
1457235,communication,1.0
1457235,location,1.0
1457235,value,1.0
1463101,amenities,1.0
1463101,cleanliness,0.6
1463101,communication,1.0
1463101,location,1.0
1463101,value,1.0
1485265,amenities,1.0
1485265,cleanliness,1.0
1485265,communication,0.6363636363636364
1485265,location,0.6666666666666666
1485265,value,1.0
1504766,amenities,1.0
1504766,check_in,1.0
1504766,cleanliness,1.0
1504766,communication,1.0
1504766,location,0.8
1504766,value,1.0
1522068,amenities,0.7575757575757576
1522068,check_in,1.0
1522068,cleanliness,0.9302325581395348
1522068,communication,0.9666666666666668
1522068,location,0.8315789473684211
1522068,value,1.0
1526123,amenities,0.2
1526123,check_in,0.5
1526123,cleanliness,0.8333333333333334
1526123,communication,0.6363636363636364
1526123,location,1.0
1526123,value,0.3333333333333333
1560067,amenities,0.7777777777777778
1560067,check_in,1.0
1560067,cleanliness,1.0
1560067,communication,0.9565217391304348
1560067,location,0.8378378378378378
1560067,value,1.0
1571204,amenities,0.8947368421052632
1571204,check_in,0.8181818181818182
1571204,cleanliness,1.0
1571204,communication,0.9240506329113924
1571204,location,0.8823529411764706
1571204,value,0.7872340425531915
1585084,amenities,1.0
1585084,cleanliness,1.0
1585084,communication,0.8666666666666667
1585084,location,0.8181818181818182
1585084,value,1.0
1621954,amenities,1.0
1621954,check_in,1.0
1621954,cleanliness,1.0
1621954,communication,0.9298245614035088
1621954,location,0.975
1621954,value,1.0
1629978,amenities,1.0
1629978,cleanliness,1.0
1629978,communication,1.0
1629978,location,0.7777777777777778
1629978,value,1.0
1630813,amenities,1.0
1630813,cleanliness,1.0
1630813,location,1.0
1630813,value,1.0
1630920,amenities,0.0
1630920,cleanliness,1.0
1630920,communication,1.0
1630920,location,0.7142857142857143
1630920,value,0.5
1631106,amenities,0.5
1631106,cleanliness,0.8666666666666667
1631106,communication,1.0
1631106,location,1.0
1631106,value,1.0
1638413,amenities,0.9090909090909092
1638413,check_in,1.0
1638413,cleanliness,0.8947368421052632
1638413,communication,0.9117647058823528
1638413,location,0.8484848484848485
1638413,value,0.6521739130434783
1645379,amenities,1.0
1645379,cleanliness,1.0
1645379,communication,1.0
1645379,location,1.0
1645379,value,1.0
1645397,amenities,0.3333333333333333
1645397,check_in,1.0
1645397,cleanliness,0.6666666666666666
1645397,communication,1.0
1645397,location,0.8461538461538461
1645397,value,1.0
1647608,check_in,1.0
1647608,cleanliness,0.25
1647608,communication,1.0
1647608,location,0.5
1647608,value,1.0
1657411,amenities,0.6666666666666666
1657411,check_in,1.0
1657411,cleanliness,0.6470588235294118
1657411,communication,0.7777777777777778
1657411,location,0.75
1657411,value,0.3333333333333333
1661636,amenities,0.9130434782608696
1661636,check_in,0.3333333333333333
1661636,cleanliness,0.9148936170212766
1661636,communication,0.9333333333333332
1661636,location,0.8823529411764706
1661636,value,0.9523809523809524
1665776,communication,1.0
1665776,location,1.0
1665970,communication,1.0
1665970,location,1.0
1665970,value,1.0
1666361,check_in,1.0
1666361,cleanliness,1.0
1666361,location,-1.0
1666361,value,1.0
1669918,amenities,1.0
1669918,cleanliness,1.0
1669918,communication,1.0
1669918,location,1.0
1669918,value,1.0
1685582,amenities,0.76
1685582,check_in,0.6
1685582,cleanliness,1.0
1685582,communication,0.9230769230769232
1685582,location,0.9777777777777776
1685582,value,0.9183673469387756
1704776,amenities,1.0
1704776,check_in,1.0
1704776,cleanliness,1.0
1704776,communication,1.0
1704776,location,1.0
1704776,value,1.0
1765918,amenities,0.8571428571428571
1765918,check_in,0.6923076923076923
1765918,cleanliness,0.8983050847457628
1765918,communication,0.9529411764705882
1765918,location,0.9090909090909092
1765918,value,1.0
1791481,amenities,1.0
1791481,check_in,0.75
